Album,Song,Lyrics
Good Girl Gone Bad,Breakin' Dishes,"I don't know who you think I am
He been gone since 3.30 (3.30)
Been coming home lately at 3.30 (3.30)
I'm super cool, I've been a fool
But now I'm hot and baby you're gonna get it
Now I ain't trippin', I, I ain't twisted
I ain't demented, well just a little bit (huh)
I'm kicking ass, I'm taking names
I'm on a flame, don't come home babe
[CHORUS]
I'm breakin' dishes up in here
All night (uh huh)
I ain't gonna stop until I see police lights (uh huh)
I'm a fight a man (tonight)
I'm a fight a man (tonight)
I'm a fight a man
A man, on a m-a-a-a-aan
A man, a man, on a m-a-a-a-aan
Oh
I'm still waiting, come through the door
I'm killing time and I'm bleaching ya clothes
I'm roasting marshmallows on the fire
And what I'm burning, is your attire
I'm getting restless, I'm getting tested
And I can't believe hes always out every night and never checks in
Is he cheating? Man I don't know
I'm looking round for something else to throw
[CHORUS]
(Uh uh uh uh uh uh uh)
I don't know who you think I am
(I don't know who you think I am)
But I really don't give a damn right now
(Uh uh uh uh uh uh uh)
If you don't come I'm a huff and puff and
Blow this, Blow this, huh
Blow this, Blow this,
I'm a blow this, blow this, huh
Blow this, Blow this
I'm a blow this, blow this, huh
Blow this house, house down
Dishes, breakin' dishes, breakin' dishes
[CHORUS]
A man, a man, on a m-a-a-a-aan
a man, a man, on a m-a-a-a-aan
breakin' breakin' breakin' breakin' (dishes dishes, dishes) [x3]"
Good Girl Gone Bad,Shut Up And Drive,"I've been looking for a driver who is qualified
So if you think that you're the one step into my ride
I'm a fine-tuned supersonic speed machine
With a sunroof top and a gangster lean
So if you feel me let me know, know, know
Come on now what you waiting for, for, for
My engine's ready to explode, explode, explode
So start me up and watch me go, go, go, go
Get you where you wanna go if you know what I mean
Got a ride that's smoother than a limousine
Can you handle the curves? Can you run all the lights?
If you can baby boy then we can go all night
'Cause I'm zero to 60 in three point five
Baby, you got the keys
Now shut up and drive
(drive, drive, drive)
Shut up and drive
(drive, drive, drive)
I got class like a '57 Cadillac
Got overdrive with a whole lot of boom in the back
You look like you can handle what's under my hood
You keep saying that you will boy I wish you would
So if you feel me let me know, know, know
Come on now what you waiting for, for, for
My engine's ready to explode, explode, explode
So start me up and watch me go, go, go, go
Get you where you wanna go if you know what I mean
Got a ride that's smoother than a limousine
Can you handle the curves? Can you run all the lights?
If you can baby boy then we can go all night
'Cause I'm zero to 60 in three point five
Baby, you got the keys
Now shut up and drive
(drive, drive, drive)
Shut up and drive
(drive, drive, drive)
'Cause your Maybach ain't got what I got (get it get it)
Don't stop it's a sure shot
And your Ferrari huh boy I'm sorry
I ain't even worried
So step inside and ride
(ride, ride, ride, ride, ride...)
So if you feel me let me know, know, know
Come on now what you waiting for, for, for
My engine's ready to explode, explode, explode
So start me up and watch me go, go, go, go
Get you where you wanna go if you know what I mean
Got a ride that's smoother than a limousine
Can you handle the curves? Can you run all the lights?
If you can baby boy then we can go all night
'Cause I'm zero to 60 in three point five
Baby, you got the keys
Now shut up and drive
(drive, drive, drive)
Shut up and drive
(drive, drive, drive)
Now shut up and drive
(drive, drive, drive)
Shut up and drive
(drive, drive, drive)
"
Good Girl Gone Bad,Hate That I Love You,"[Rihanna:]
That's how much I love you
That's how much I need you
And I can't stand you
Must everything you do make me wanna smile?
Can I not like you for awhile?
No
[Ne-Yo:]
But you won't let me
You upset me, girl
And then you kiss my lips
All of a sudden I forget
That I was upset
Can't remember what you did
[Rihanna:]
But I hate it
You know exactly what to do
So that I can't stay mad at you
For too long
That's wrong
[Ne-Yo:]
But I hate it
You know exactly how to touch
So that I don't want to fuss
And fight no more
Said I despise that I adore you
[Rihanna:]
And I hate how much I love you, boy
I can't stand how much I need you (I need you)
And I hate how much I love you, boy
But I just can't let you go
And I hate that I love you so
[Ne-Yo:]
And you completely know the power that you have
The only one that makes me laugh
[Rihanna:]
Said it's not fair
How you take advantage of the fact
That I
Love you beyond the reason why
And it just ain't right
[Ne-Yo:]
And I hate how much I love you, girl
I can't stand how much I need you
And I hate how much I love you, girl
But I just can't let you go
But I hate that I love you so
[Both:]
One of these days maybe your magic won't affect me
And your kiss won't make me weak
But no one in this world knows me the way you know me
So, you'll probably always have a spell on me
[Both:]
That's how much I love you
How much I need you
That's how much I need you
How much I love you
That's how much I love you
How I need you
That's how much I need you
I need you
[Rihanna:]
And I hate that I love you so
And I hate how much I love you, boy
I can't stand how much I need you
(can't stand how much I need you)
And I hate how much I love you boy
But I just can't let you go
(but I just can't let you go, no)
And I hate that I love you so
And I hate that I love you so, so"
Good Girl Gone Bad,Say It,"[Intro]
You should tell me whats buggin you
And Imma tell ya bout me
Make a wish and tell me your deepest thoughts
And Imma make it easy
Make a wish tell me whats buggin you
And Imma tell ya bout me
Make a wish and tell me your deepest thoughts
And Imma make it easy
[Verse 1]
Emotions running wild 
I could feel it when I'm next to you,
Something's on ya mind
You wanna stay but wont tell me, 
its about ya secrecy
So what are you tryna hide?
I know what the look means
You hold my hand so tightly,
Whenever we say goodbye
Standing by the door,
I could tell you can't take no more
Blow your secret open wide
[Chorus]
So maybe if you say it
Tell me what it is you likeeee (likee)
Baby baby dont be shyyy (shyy)
Maybe you can spend the nighttt (nii-iii-iightt)
If you say it
But if you playin (not wit it)
Cuz you know what I wanna hear (hearr)
Say it, that'll make it more clear (clearr)
I need to know how you feel
So baby why wont you (say it), say it (say it)
[Bridge 1]
Wont', won't you tell me
What, what's going on
Why, why you waitin' on it
What you waiting for?
Soon you should tell me or I might be gone
But I'm here for you baby,
You should put me on
[Verse 2]
I won't shoot you down,
Make you feel some kinda way
If you'll be honest with me
Put away your pride, 
I can see it in your face 
You want me permanently (unh)
Like how i wine when we dancing,
I know how it happened
And I'm right there wit you
But I won't be the first to out myself out there,
The feeling is mutual
But I bet if you
[Chorus]
Say it
Tell me what it is you likeeee (likee)
Baby baby dont be shyyy (shyy)
Maybe you can spend the nighttt (nii-iii-iightt)
If you say it
But if you playin (not wit it)
Cuz you know what i wanna hear (hearr)
Say it, that'll make it more clear (clearr)
I need to know how you feel
so baby why wont you (say it), say it (say it)
[Bridge 2 2x]
Your eyes steady talking
And your tryna fight it
But some things baby are not worth hiding
And we can find heaven,
If we go look together
So won't, won't you tell me,
And get it off your chest
[Chorus]
So maybe if you say it (saa-ayyyy)
Tell me what it is you likeeee (what it is you like) (likee)
Baby baby dont be shyyy (shyy) (oh no no)
Maybe you can spend the nighttt (nii-iii-iightt)
If you say it
But if you playin (not wit it)
Cuz you know what I wanna hear (you know what I wanna hear) (hearr)
Say it, that'll make it more clear (so boy say it loud and clear)
I need to know how you feel
So baby why wont you (say it), say it (say it) (saa-ayyyy ittt)
[Bridge 2 2x]
Your eyes steady talking
And your tryna fight it
But some things baby are not worth hiding
And we can find heaven,
If we go look together
So won't, won't you tell me,
And get it off your chest
[Chorus]
Say it
Tell me what it is you likeeee (likee)
Baby baby dont be shyyy (shyy)
Maybe you can spend the nighttt (nii-iii-iightt)
If you say it
But if you playin (not wit it)
Cuz you know what i wanna hear (hearr)
Say it, that'll make it more clear (clearr)
I need to know how you feel
so baby why wont you (say it), say it (say it)"
Good Girl Gone Bad,Sell Me Candy,"
[Verse 1]
Sell me candy like it’s summer when it’s melting in my hands
I know you’re around like the ice cream man
I can hear you calling, whisper something in my ear
You're sweet like sugar, tell me what I wanna hear
I’m weak by your touch and when it’s melting on my lips
I run through my body when you lick my fingertips
You’re selling me a fantasy that I want to explore
It sounds so good spoil me rotten to the core
[Bridge:]
Talk to me
Take care of my dreams
All I need
Is you beside me
It’s destiny
Just let it be
If words can speak
Then baby sell it to me
[Chorus:]
Sell me candy, sell me love, sell me heaven, sell me doves
What’s the charge? What’s the cost?
(I’m the daddy)… you the boss.
[Verse 2]
You could be a professional, boy you make a sale
I try to resist but every time I fail
The one temptation that I gotta endure
The running through my body now you’re knocking at my door
A thin little kiss and your call is really sweet
But the shawty that you’re rocking is nothing like me
You’re selling me a fantasy that I want to explore
It sounds so good spoil me rotten to the core (you know…)
[Bridge]
[Chorus]
[Verse 3]
I wanna play… more than you know
So don’t you leave… and don’t you go
I want it all… until time falls
His arms… I want to roam
I want to love… give him my trust
I want to live… for both of us
I want to breathe you… lay on your shoulder
I want to warm you… when nights get colder
I want love… love… love
I want love… love… love
[Bridge]
[Chorus]"
Good Girl Gone Bad,Lemme Get That,"[Chorus]
I got a house, but I need new furniture,
Why spend mine when I could spend yours
The truth is I will love you the same
But why complain you buying gucci babe
[Verse 1]
You might see me in the spot
Ya boy think I'm hot
So I came up in here to get what you got
I'm hot like the block
Ugh Huh you like that
know you wanna bite that
Ugh Huh yea right there
They love the young girl
They wanna give it to me
Wish I was in a flick
And I ain't talking movies
If ya young,if ya hot girl
Shake what ya got girl
I keep 'em singing...
[Pre-Hook]
Lemme hit that (Huh?)
(Justin What you got up in them jeans? Put it on me, or get lonely)
Lemme get that (Huh?)
(Rihanna You know, 5 car garages, name on your bank account, all day massages)
Lemme hit that (Huh?)
(Justin I wanna put it on blast)
Lemme get that (Huh?)
(Rihanna Better slow down, for I make you crash boy)
Got what you want
Baby got what you need,
But we can't proceed 
Unless you got that for me
[Chorus]
[Verse 2]
I'm a put you on the spot
keep the sheet in knots
I bought me a benz, 
You buy me the yacht
A girl need a lot, 
The girl need some stocks
Bonds is what I got, bonds is what I got (ya get it?)
They love the young girl
They wanna give it to me
Wish I was in a flick,
and I ain't talking movies
If ya young, if ya hot girl
Shake what ya got girl
I keep em singing...
[Pre-Hook]
[Chorus]
[Bridge]
Oh...Oh...Oh...
Boy I know you want my love
Oh...Oh...Oh...
Nothing is free in this world
Oh...Oh...Oh...
Unless my love is your love
Oh...Oh...Oh...
I'm not a gold digger"
Good Girl Gone Bad,Rehab,"[Verse 1:]
Baby, baby
When we first met
I never felt something so strong
You were like my lover
And my best friend
All wrapped into one
With a ribbon on it
And all of a sudden
you went and left
I didn't know how to follow
It's like a shock
That spun me around
And now my heart's dead
I feel so empty and hollow
[Pre Chorus:]
And I'll never give myself to another
The way I gave it to you
Don't even recognize
The ways you hurt me
Do you?
It's gonna take a miracle to bring me back
And you're the one to blame
[Chorus:]
And now I feel like, oh
You're the reason
Why I'm thinking
I don't wanna smoke on
These cigarettes no more
I guess that's what I get
For wishful thinking
Should've never let you enter my door
Next time you wanna go on and leave
I should just let you go on and do it
Cause now I'm using like I bleed
It's like I checked into rehab
Baby you're my disease
It's like I checked into rehab
Baby you're my disease
I gotta check into rehab
'Cause baby you're my disease
I gotta check into rehab
'Cause baby you're my disease
[Verse 2:]
Damn,
Ain't it crazy
When you're loveswept
You'll do anything
For the one you love
'Cause anytime
That you needed me
I'd be there
It's like
You were my favorite drug
The only problem is
That you was using me
In a different way
That I was using you
But now that I know
That it's not meant to be
You gotta go
I gotta wean myself off of you
[Pre Chorus:]
[Chorus:]
[Ad libs]
[Chorus:]"
Good Girl Gone Bad,Question Existing,"Take off my shirt.
Loosen the buttons and undo my skirt,
Stare at myself in the mirror
Take me apart piece by piece,
Sorrow decrease
Pressure release, I put in work
Did more than called upon, More than deserved
When it was over, Did I wind up hurt (Yes)?
But it taught me before a decision ask this question first
[Chorus:]
Who am I living for?
Is this my limit?
Can I endure some more?
Chances are given, Question Existing
Who am I living for?
Is this my limit?
Can I endure some more?
Chances are given, Question Existing
Take off my coat,
show them that under here,
I'm just like you do the mistakes,
I may make me a fool or a human with flaws,
admit that I'm loss
Round of applause,
Take the abuse
Sometimes it feels like they want me to lose
It's entertainment is that an excuse? (No)
But the question that lingers whether ""win or lose""
[Chorus]
Dear Diary,
It's Robyn
Entertaining is something I do for a living
It's not who I am, I'd like to think that I'm pretty normal,
I laugh, I get mad, I hurt, I think
Guys suck sometimes,
But when you're in the spotlight,
Everything seems good,
Sometimes I feel like i have it worst cause I have to always keep my guard up,
I don't know who to trust, I don't know who wants to date me for who I am,
Or who wants to be my friend for who I really am,
[Chorus]
"
Good Girl Gone Bad,Good Girl Gone Bad,"We stay moving around, solo
Ask us where you at, we don't know
And don't care (don't care)
All we know is we was at home cause you left us there
You got your boys and got gone
And left us all alone
Now she in the club with a freaky dress on
Cats don't want her to keep that dress on
Trying to get enough drinks in her system
Take it to the tele and make her a victim
Patron on brain, ball player in her face
They shake the spot, she's just another case
Easy for a good girl to go bad
And once we gone (gone)
Best believe we've gone forever
Don't be the reason
Don't be the reason
You better learn how to treat us right
'Cause once a good girl goes bad
We done forever
He's staying with a flock of them, oh, yeah
Got a girl at home but he don't care
Won't care (won't care)
All he'll do is keep me at home, won't let me go nowhere
He thinks because I'm at home I won't be getting it on
And now I'm finding numbers in the jacket pockets
Tricks calling the house, non-stop it's getting out of control
Finally I can't take no more
He finds a letter on the stairs, saying this is the end
I packed my bag and left with your best friend
Easy for a good girl to go bad
And once we gone (gone)
Best believe we've gone forever
Don't be the reason
Don't be the reason
You better learn how to treat us right
'Cause once a good girl goes bad
We done forever
We stay moving around, solo
Ask us where you at, we don't know
And don't care (don't care)
All we know is we was at home cause you left us there
You got your boys and got gone
And left us all alone
Easy for a good girl to go bad
And once we gone (gone)
Best believe we've gone forever
Don't be the reason
Don't be the reason
You better learn how to treat us right
'Cause once a good girl goes bad
We done forever
We're gone forever
We're gone forever
"
Good Girl Gone Bad,Disturbia,"Bum bum be-dum bum bum be-dum bum
Bum bum be-dum bum bum be-dum bum
Bum bum be-dum bum bum be-dum bum
Bum bum be-dum bum bum be-dum bum
What's wrong with me?
Why do I feel like this?
I'm going crazy now
No more gas in the rig
Can't even get it started
Nothing heard, nothing said
Can't even speak about it
Out my life, out my head
Don't wanna think about it
Feels like I'm going insane
Yeah
It's a thief in the night
To come and grab you
It can creep up inside you
And consume you
A disease of the mind
It can control you
It's too close for comfort
Throw on your brake lights
We're in the city of wonder
Ain't gonna play nice
Watch out, you might just go under
Better think twice
Your train of thought will be altered
So if you must falter be wise
Your mind is in disturbia
It's like the darkness is the light
Disturbia
Am I scaring you tonight?
Disturbia
Ain't used to what you like
Disturbia
Disturbia
Bum bum be-dum bum bum be-dum bum
Bum bum be-dum bum bum be-dum bum
Bum bum be-dum bum bum be-dum bum
Bum bum be-dum bum bum be-dum bum
Faded pictures on the wall
It's like they talkin' to me
Disconnecting all the calls
Your phone don't even ring
I gotta get out
Or figure this shit out
It's too close for comfort, oh.
It's a thief in the night
To come and grab you
It can creep up inside you
And consume you
A disease of the mind
It can control you
I feel like a monster
Throw on your brake lights
We're in the city of wonder (City of lights)
Ain't gonna play nice (oh)
Watch out, you might just go under
Better think twice (think twice)
Your train of thought will be altered
So if you must falter be wise (be wise)
Your mind is in disturbia
It's like the darkness is the light
Disturbia
Am I scaring you tonight?
Disturbia
Ain't used to what you like (what you like)
Disturbia
Disturbia
Bum bum be-dum bum bum be-dum bum
Bum bum be-dum bum bum be-dum bum
Bum bum be-dum bum bum be-dum bum
Bum bum be-dum bum bum be-dum bum
Release me from this curse I'm in
Trying to maintain
But I'm struggling
If you can't go, go, go
I think I'm gonna oh, oh, oh
Throw on your brake lights
We're in the city of wonder
Ain't gonna play nice
Watch out, you might just go under
Better think twice (better think twice)
Your train of thought will be altered
So if you must falter be wise (if you must falter be wise)
Your mind is in disturbia
It's like the darkness is the light
Disturbia
Am I scaring you tonight?
Disturbia
Ain't used to what you like (disturbia)
Disturbia
Disturbia
Bum bum be-dum bum bum be-dum bum
Bum bum be-dum bum bum be-dum bum
Bum bum be-dum bum bum be-dum bum
Bum bum be-dum bum bum be-dum bum"
Good Girl Gone Bad,Take A Bow,"Oh, how about a round of applause, yeah
A standing ovation
Oh, yeah
Yeah, yeah, yeah, yeah
You look so dumb right now
Standing outside my house
Trying to apologize
You're so ugly when you cry
Please, just cut it out
[Chorus:]
Don't tell me you're sorry 'cause you're not
Baby when I know you're only sorry you got caught
But you put on quite a show
Really had me going
But now it's time to go
Curtain's finally closing
That was quite a show
Very entertaining
But it's over now (but it's over now)
Go on and take a bow
Grab your clothes and get gone (get gone)
You better hurry up
Before the sprinklers come on (come on)
Talking' bout'
Girl, I love you, you're the one
This just looks like a re-run
Please, what else is on (on)
[Chorus]
[Bridge]
Oh, and the award for
The best lie goes to you (goes to you)
For making me believe (that you)
That you could be faithful to me
Let's hear your speech, oh
How about a round of applause
A standing ovation
But you put on quite a show
Really had me going
Now it's time to go
Curtain's finally closing
That was quite a show
Very entertaining
But it's over now (but it's over now)
Go on and take a bow
But it's over now"
Good Girl Gone Bad,If I Never See Your Face Again,"[Maroon 5] 
Now as the summer fades, I let you slip away 
You say I'm not your type, But I can make you sway. 
It makes you burn to learn, you're not the only one 
I'd let you be if you put down your blazing gun. 
[Rihanna] 
Now you've gone somewhere else, Far away 
I don't know if I will find you (find you, find you). 
But you feel my breath, on your neck 
Can't believe I'm right behind you (right behind you). 
[Both] 
'Cause you keep me coming back for more (Coming back for more)
And I feel a little better than I did before 
[Rihanna]
And if I never see your face again, I don't mind 
[Both]
'Cause we got much further than I thought we'd get tonight 
[Rihanna] 
Sometimes you move so well 
It's hard not to give in. 
[Maroon 5] 
I'm lost, I can't tell 
Where you end and I begin. 
[Rihanna] 
It makes you burn to learn 
I'm with another man. 
[Maroon 5] 
I wonder if he's half 
The lover that I am. 
Now you've gone somewhere else, Far away 
I don't know if I will find you (find you, find you). 
But you feel my breath, on your neck 
Can't believe I'm right behind you (right behind you). 
[Both] 
'Cause you keep me coming back for more (Coming back for more) 
And I feel a little better than I did before 
[Rihanna]
If I never see your face again, I don't mind 
[Both]
'Cause we got much further than I thought we'd get tonight 
[Maroon 5] 
Baby, baby 
Please believe me 
Find it in your heart to reach me 
Promise not to leave me behind 
(Promise not to leave me behind) 
[Rihanna] 
Take me down, but take it easy 
Make me think but don't deceive me 
Torture me by taking your time 
(Torture me, torture me) 
'Cause you keep me coming back for more 
And I feel a little better than I did before 
[Both] 
If I never see your face again, I don't mind 
'Cause we got much further than I thought we'd get tonight (torture me, torture me)
[Both] 
'Cause you keep me coming back for more (Coming back for more)
And I feel a little better than I did before (Did before)
And if I never see your face again, I don't mind 
'Cause we got much further than I thought we'd get tonight"
Rated R,Mad House,"Ladies and Gentleman
To those among you who are easily frightened
We suggest you turn away now
To those of you who think you can take it
We say welcome to the Mad House
Ah, ah, ah, ah, ah, oh oh
Ah, ah, ah, ah, ah, oh oh {madhouse}
Na, Na, Na, Na, Na, Na, Na, Na
Na, Na, Na, Na, Na, Na, Na
Come on, come on, come on in
come on, come on in {madhouse}
Ah, ah, ah, ah, ah, oh oh
Ah, ah, ah, ah, ah, oh oh {madhouse}
Welcome to the mad house
Na, Na, Na, Na, Na, Na, Na, Na
Na, Na, Na, Na, Na, Na, Na
Come on, come on, come on in
come on, come on in"
Rated R,Wait Your Turn,"It's just the way
The game is played
It's best if you just
Wait your turn
The wait is ova
The wait is ova
The wait is ova
The wait is ova
The wait is ova
The wait is ova
The wait is ova
The wait is ova
I pitch with a grenade
Swing away if you're
Feeling brave
There's so much power
In my name
If you pop off and you say it
Steady
I'm gonna do the wave
I'm such a
Fuckin' lady
You don't have to be
So afraid
Cause I got room
Up on my team
You can play
But hold up
It's just the way
The game is played
It's best if you just
Wait your turn
It's getting crowded
Over here
But babe
The wait is ova
Sometimes it takes
A thousand tries
To win
The wait is ova
Fumble
Don't you fumble
That's a flag on the play
Babe if you don't wanna
Then you don't have to wait
But together
We gon' be taking over
It's just the way
The game is played
It's best if you just
Wait your turn
So you don't wanna wait
I hate to hear
That's such a shame
'Cause if you play it sideways
Ain't no timeout in my game
They already underway
I know you want to win
And you wish
I would let you in
Get in line over here
You can play
But hold up
It's just the way
The game is played
It's best if you just
Wait your turn
It's getting crowded
Over here
But babe
The wait is ova
Sometimes it takes
A thousand tries
To win
The wait is ova
Fumble
Don't you fumble
That's a flag on the play
Babe if you don't wanna
Then you don't have to wait
But together
We gon' be taking over
It's just the way
The game is played
It's best if you just
Wait your turn
Baby put the work in
Like a champion
But the crowd is screaming
With their hands way up
Couldn't be with no one else
You're the only way
I'll win
Baby got the whole world
Standing up
Damn I'm glad I picked ya
Took a chance on love
Baby love
The time is now
And now
The wait is ova
The wait is ova
The wait is ova
The wait is ova
The wait is ova
(just wait your turn)
The wait is ova
The wait is ova
The wait is ova
The wait is ova
(just wait your turn)
It's getting crowded
Over here
But babe
The wait is ova
Sometimes it takes
A thousand tries
To win
The wait is ova
Fumble
Don't you fumble
That's a flag on the play
Babe if you don't wanna
Then you don't have to wait
But together
We gon' be taking over
It's just the way
The game is played
It's best if you just
Wait your turn
Just wait your turn
The wait is ova
The wait is ova
The wait is ova
The wait is ova"
Rated R,Hard,"Yeah, yeah, yeah (Yeah, yeah, yeah)
Yeah, yeah, yeah (Ah yeah, yeah, yeah)
Ah yeah, yeah, yeah (Ah yeah, yeah, yeah)
Ah yeah, ah yeah, ah yeah, yeah
Ah yeah, ah yeah, ah yeah, yeah
[Rihanna:]
They can say whatever, I'mma do whatever
No pain is forever, yup! You know this
Tougher than a lion, ain't gon' need to try it
I live where the sky ends, yup! You know this
Never lying, truth-teller
That Rihanna reign just won't let up
All-black on, blacked-out shades, blacked-out Maybach
I'mma rock this shit like fashion, as in going til they say stop
And my, runway never looked so clear, but the hottest bitch in heels right here
No fear, and while you're getting your cry on, I'm getting my fly on
Sincere, I see you aiming at my pedestal, I better let you know
That I, I, I, I'm so hard, yea, yea, yea, I'm so hard
That I, I, I, I'm so hard, yea, yea, yea, I'm so hard
That I, I, I, I'm so hard, yea, yea, yea, I'm so hard
So hard, so hard, so hard, so hard
Yea, yea, yea, (that Rihanna reign just don't let up)
Yea, yea, yea, (that Rihanna reign just don't let up)
Yea, yea, yea, (that Rihanna reign just don't let up)
So hard, so hard, so hard, so hard
All up on it, know you want to clone it
Ain't like me, that chick too phony
Ride this beat, beat, beat like a pony
Meet me at the top, top, top, getting lonely
Who think they test me now, run through your town
I shut it down. Brilliant, resilient, fan mail from 27 million
And I want it all, it's gonna take more than that
Hope that ain't all you got, I need it all
The money, the fame, the cars, the clothes
I can't just let you run up on me like that, all on me like that
Yeah, I see you aiming at my pedestal, so I think I gotta let you know
That I, I, I, I'm so hard, yea, yea, yea, I'm so hard
That I, I, I, I'm so hard, yea, yea, yea, I'm so hard
That I, I, I, I'm so hard, yea, yea, yea, I'm so hard
So hard, so hard, so hard, so hard
[Young Jeezy:]
Go hard or go home, back to your residence
Soon as the Red Dogs give the block back to the presidents
I used to run my whole block like Obama and them
You ain't gotta believe me - go ask my momma and them
Couldn't even come in my room, smelled like a kilo
Look like me and two of my boys playing casino
Count the style I keep in my bag, they can't afford it
Tell 'em ""give me back my swag!"" - they trying to clone it
See my Louis chucks, Louis flag, Louis frames, Louis belt
What that make me, ""Louis Mane""?
I'm in the all-white party wearing all black
With my new black watch, call it the heart attack
Cardiac arrest, Carti'ac a wrist
Yeah, they say they hard, they ain't hard as this
Hard: the one word describes me
If I wasn't doing this, you know where I'd be
[Rihanna:]
Where them girls talking trash?
Where them girls talking trash?
Where they at? Where they at? Where they at?
Where them bloggers at?
Where them bloggers at?
Where they at? Where they at? Where they at?
Where your lighters at?
Where your lighters at?
Where they at? Where they at? Where they at?
So hard, so hard, so hard, so hard
That I, I, I, I'm so hard
Ah yeah, yeah, yeah, I'm so hard
That I, I, I, I'm so hard
Ah yeah, yeah, yeah, I'm so hard
That I, I, I, I'm so hard
Ah yeah, yeah, yeah, I'm so hard
So hard, so hard, so hard, so hard
That I, I, I"
Rated R,Stupid In Love,"Stupid in love
Oh
Stupid in love
Let me tell you something
Never have I ever
Been a size 10
In my whole life
I left the engine running
I just came to see
What you would do if I
Gave you a chance
To make things right
So I made it
Even though Katy
Told me that this would be nothing
But a waste of time
And she was right
Don't understand it
Blood on your hands
And still you insist
On repeatedly trying
To tell me lies
And I just don't know why
This is stupid
I'm not stupid
Don't talk to me
Like I'm stupid
I still love you
But I just cant do this
I may be dumb but
I'm not stupid
My new nickname
Is ""You - Idiot""
(Such an idiot)
That's what my friends
Are calling me when
They see me yelling
Into my
Phone
They tell me let go
He is not the one
I thought I saw your potential
Guess that's what made me dumb
He don't want it
Not like you want it
Scheming and cheating
Oh girl, why do you
Waste your time
You know he ain't right
Telling me this
I don't wanna listen
But you insist
On repeatedly trying
To tell me lies
And I just don't know why
This is stupid
I'm not stupid
Don't talk to me
Like I'm stupid
I still love you
But I just cant do this
I may be dumb but
I'm not stupid
Trying to make this work
But you act like a jerk
Silly of me to keep
Holding on
But the dunce cap is off
You don't know what you lost
And you wont realize
Till I'm gone, gone, gone
That I was the one
Which one of us
Is really dumb
Ooh
No
No
No
I'm not stupid in love
This is stupid
I'm not stupid
Don't talk to me
Like I'm stupid
I still love you
But I just cant do this
I may be dumb but
I'm not stupid
I may be dumb but
I'm not stupid
In love"
Rated R,Rockstar 101,"I told ya
I told ya
I told ya
Baby
Baby
Uh, uh
I told ya, baby
Uh-oh
I told ya, baby
Uh-oh
I told ya, baby
Uh-oh
I told ya, baby
Uh-oh
I told ya, baby
Uh-oh
I told ya
Got up in the club
Posted in the back
Feeling so good
Looking so bad
Rocking this skirt
Rocking this club
Got my middle finger up
I don't really give a fuck
Rocking these diamonds
I'm rocking this chain
Make sure you get a picture
I'm rocking my fame
To be what you is
You gotta be what you are
The only thing I'm missing
Is a black guitar
I'm a rockstar
Hey baby
I'm a rockstar
Hey baby
Big city
Bright lights
Sleep all day
Up all night
Hey baby
I'm a rockstar
Hey baby
I'm a rockstar
Hey baby its..
Big cities
And bright lights
Sleep all day
Up all nights
Baby I'm a
Oh, baby I'm a
Oh, baby I'm a
Oh, baby I'm a
Oh, baby I'm a
Oh, baby I'm a
Oh, baby I'm a
Oh, baby I'm a
Hey, hey, hey
Six inch walker
Big shit talker
I never play the victim
I'd rather be a stalker
So baby take me in
I'll disobey the law
Make sure you frisk me good
Check my panties and my bra
Wildn out
A crazy house
With my white jacket on
Wont you come
And sign me out
To be what you is
You gotta be what you are
The only thing I'm missing
Is a black guitar
I'm a rockstar
Hey baby
I'm a rockstar
Hey baby
Big city
Bright lights
Sleep all day
Up all night
Hey baby
I'm a rockstar
Hey baby
I'm a rockstar
Hey baby its..
Big cities
And bright lights
Sleep all day
Up all nights
Baby I'm a
Oh, baby I'm a
Oh, baby I'm a
Oh, baby I'm a
Oh, baby I'm a
Oh, baby I'm a
Oh, baby I'm a
Oh, baby I'm a
Hey, hey, hey
Hey
I'm rocking out tonight
Cause I cant wait till tomorrow
I'm a live my whole life
In the night
Cause I ain't got time to borrow
I'm rocking out tonight
Why wait till tomorrow
I'm a live my whole life
In the night
I'm a rockstar
Hey baby
I'm a rockstar
Hey baby
Big city
Bright lights
Sleep all day
Up all night
Hey baby
I'm a rockstar
Hey baby
I'm a rockstar
Hey baby its..
Big cities
And bright lights
Sleep all day
Up all nights
Baby I'm a
Oh, baby I'm a
Oh, baby I'm a
Oh, baby I'm a
Oh, baby I'm a
Oh, baby I'm a
Oh, baby I'm a
Oh, baby I'm a
Hey, hey, hey
"
