Album,Song,Lyrics
A Rush of Blood to the Head,In My Place,"In my place, in my place
Were lines that I couldn't change
I was lost, oh yeah
And I was lost, I was lost
Crossed lines I shouldn't have crossed
I was lost, oh yeah
Yeah, how long must you wait for it?
Yeah, how long must you pay for it?
Yeah, how long must you wait for it?
For it
I was scared, I was scared
Tired and under-prepared
But I wait for it
And if you go, if you go
And leave me down here on my own
Then I'll wait for you, yeah
Yeah, how long must you wait for it?
Yeah, how long must you pay for it?
Yeah, how long must you wait for it?
For it
Sing it please, please, please
Come back and sing to me
To me, me
Come on and sing it out, now, now
Come on and sing it out
To me, me
Come back and sing
In my place, in my place
Were lines that I couldn't change
I was lost, oh yeah
Oh yeah"
A Rush of Blood to the Head,God Put A Smile Upon Your Face,"Where do we go? Nobody knows
I've got to say I'm on my way down
God give me style and give me grace
God put a smile upon my face
Where do we go to draw the line?
I've got to say I wasted all your time
Honey honey
Where do I go to fall from grace?
God put a smile upon your face, yeah
Ah, when you work it out I'm worse than you
Yeah, when you work it out I wanted to
Ah, when you work out where to draw the line
Your guess is as good as mine
Where do we go? Nobody knows
Don't ever say you're on your way down when
God gave you style and gave you grace
And put a smile upon your face ah yeah
Ah, when you work it out I'm worse than you
Yeah, when you work it out I want it to
Ah, when you work out where to draw the line
Your guess is as good as mine
It's as good as mine
It's as good as mine
It's as good as mine
As good as mine, as good as mine
As good as mine, as good as mine
Where do we go? Nobody knows
Don't ever say you're on your way down when
God gave you style and gave you grace
And put a smile upon your face"
A Rush of Blood to the Head,The Scientist,"Come up to meet you, tell you I'm sorry
You don't know how lovely you are
I had to find you
Tell you I need you
Tell you I set you apart
Tell me your secrets
And ask me your questions
Oh, let's go back to the start
Running in circles
Coming up tails
Heads on a science apart
Nobody said it was easy
It's such a shame for us to part
Nobody said it was easy
No one ever said it would be this hard
Oh, take me back to the start
I was just guessing
At numbers and figures
Pulling the puzzles apart
Questions of science
Science and progress
Do not speak as loud as my heart
Tell me you love me
Come back and haunt me
Oh, and I rush to the start
Running in circles
Chasing our tails
Coming back as we are
Nobody said it was easy
Oh, it's such a shame for us to part
Nobody said it was easy
No one ever said it would be so hard
I'm going back to the start
Come up to meet you, tell you I'm sorry
You don't know how lovely you are
I had to find you
Tell you I need you
Tell you I set you apart
Tell me your secrets
And ask me your questions
Oh, let's go back to the start
Running in circles
Coming up tails
Heads on a science apart
Nobody said it was easy
It's such a shame for us to part
Nobody said it was easy
No one ever said it would be this hard
Oh, take me back to the start
I was just guessing
At numbers and figures
Pulling the puzzles apart
Questions of science
Science and progress
Do not speak as loud as my heart
Tell me you love me
Come back and haunt me
Oh, and I rush to the start
Running in circles
Chasing our tails
Coming back as we are
Nobody said it was easy
Oh, it's such a shame for us to part
Nobody said it was easy
No one ever said it would be so hard
I'm going back to the start
Come up to meet you, tell you I'm sorry
You don't know how lovely you are
I had to find you
Tell you I need you
Tell you I set you apart
Tell me your secrets
And ask me your questions
Oh, let's go back to the start
Running in circles
Coming up tails
Heads on a science apart
Nobody said it was easy
It's such a shame for us to part
Nobody said it was easy
No one ever said it would be this hard
Oh, take me back to the start
I was just guessing
At numbers and figures
Pulling the puzzles apart
Questions of science
Science and progress
Do not speak as loud as my heart
Tell me you love me
Come back and haunt me
Oh, and I rush to the start
Running in circles
Chasing our tails
Coming back as we are
Nobody said it was easy
Oh, it's such a shame for us to part
Nobody said it was easy
No one ever said it would be so hard
I'm going back to the start
Come up to meet you, tell you I'm sorry
You don't know how lovely you are
I had to find you
Tell you I need you
Tell you I set you apart
Tell me your secrets
And ask me your questions
Oh, let's go back to the start
Running in circles
Coming up tails
Heads on a science apart
Nobody said it was easy
It's such a shame for us to part
Nobody said it was easy
No one ever said it would be this hard
Oh, take me back to the start
I was just guessing
At numbers and figures
Pulling the puzzles apart
Questions of science
Science and progress
Do not speak as loud as my heart
Tell me you love me
Come back and haunt me
Oh, and I rush to the start
Running in circles
Chasing our tails
Coming back as we are
Nobody said it was easy
Oh, it's such a shame for us to part
Nobody said it was easy
No one ever said it would be so hard
I'm going back to the start
Come up to meet you, tell you I'm sorry
You don't know how lovely you are
I had to find you
Tell you I need you
Tell you I set you apart
Tell me your secrets
And ask me your questions
Oh, let's go back to the start
Running in circles
Coming up tails
Heads on a science apart
Nobody said it was easy
It's such a shame for us to part
Nobody said it was easy
No one ever said it would be this hard
Oh, take me back to the start
I was just guessing
At numbers and figures
Pulling the puzzles apart
Questions of science
Science and progress
Do not speak as loud as my heart
Tell me you love me
Come back and haunt me
Oh, and I rush to the start
Running in circles
Chasing our tails
Coming back as we are
Nobody said it was easy
Oh, it's such a shame for us to part
Nobody said it was easy
No one ever said it would be so hard
I'm going back to the start
Oh [x4]"
A Rush of Blood to the Head,Clocks,"The lights go out and I can't be saved
Tides that I tried to swim against
Have brought me down upon my knees
Oh I beg, I beg and plead, singing
Come out of things unsaid
Shoot an apple off my head and a
Trouble that can't be named
A tiger's waiting to be tamed, singing
You are
You are
Confusion never stops
Closing walls and ticking clocks 
Gonna come back and take you home
I could not stop that you now know, singing
Come out upon my seas
Cursed missed opportunities 
Am I a part of the cure?
Or am I part of the disease? Singing
You are, you are, you are 
You are, you are, you are
And nothing else compares
Oh nothing else compares
And nothing else compares
You are 
You are
Home, home where I wanted to go 
Home, home where I wanted to go
Home, home where I wanted to go
Home, home where I wanted to go"
A Rush of Blood to the Head,Daylight,"To my surprise
And my delight
I saw sunrise
I saw sunlight
I am nothing
In the dark
And the clouds burst
To show daylight
Oooh, and the sun shine
Yeah, on this heart of mine
Oooh, and I realise
Who couldn't live without
Oooh, come apart without it
On a hilltop
On a sky-rise
Like a firstborn
Child
And at full tilt
And in full flight
Defeat darkness
Breaking daylight
Oooh, and the sun shine
Yeah on this heart of mine
Oooh, and I realise
Who cannot live without
Oooh, come apart without
Daylight
Slowly breaking through the daylight"
A Rush of Blood to the Head,Green Eyes,"Honey you are a rock
Upon which I stand
And I come here to talk
I hope you understand
The green eyes
Yeah the spotlight
Shines upon you
And how could anybody
Deny you?
I came here with a load
And it feels so much lighter
Now I met you
And honey you should know
That I could never go on
Without you
Green eyes
Honey you are the sea
Upon which I float
And I came here to talk
I think you should know
That green eyes
You're the one that I wanted to find
And anyone who tried to deny you
Must be out of their mind
Because I came here with a load
And it feels so much lighter since I met you
Honey you should know
That I could never go on
Without you
Green eyes, green eyes
Oh oh oh oh
Oh oh oh oh
Oh oh oh oh
Oh oh oh oh
Honey you are a rock
Upon which I stand"
A Rush of Blood to the Head,Warning Sign,"A warning sign
I missed the good part, then I realised
I started looking and the bubble burst
I started looking for excuses
Come on in
I've got to tell you what a state I'm in
I've got to tell you in my loudest tones
That I started looking for a warning sign
When the truth is
I miss you
Yeah the truth is
That I miss you so
A warning sign
You came back to haunt me and I realised
That you were an island and I passed you by
When you were an island to discover
Come on in
I've got to tell you what a state I'm in
I've got to tell you in my loudest tones
That I started looking for a warning sign
When the truth is
I miss you
Yeah the truth is
That I miss you so
And I'm tired
I should not have let you go
So I crawl back into your open arms
Yes I crawl back into your open arms
And I crawl back into your open arms
Yes I crawl back into your open arms"
A Rush of Blood to the Head,A Whisper,"A whisper, a whisper, a whisper, a whisper
A whisper, a whisper, a whisper, a whisper
I hear the sound of the ticking of clocks
Remember your face
Who remembers you when you are gone?
I hear the sound of the ticking of clocks
Come back and look for me, look for me
When I am lost
Just a whisper, a whisper, a whisper, a whisper
Just a whisper, a whisper, a whisper, a whisper
Night turns to day
And I still have these questions
Bridges will break
Should I go forwards or backwards?
Night turns to day
And I still get no answers
Just a whisper, a whisper, a whisper, a whisper
Just a whisper, a whisper, a whisper, a whisper
I hear the sound of the ticking of clocks
Remember your face
Who remembers you when you are gone?
I hear the sound of the ticking of clocks
Come back and look for me, look for me
When I am lost
Just a whisper, a whisper, a whisper, a whisper
Just a whisper, a whisper, a whisper, a whisper"
A Rush of Blood to the Head,A Rush of Blood to the Head,"He said, I'm gonna buy this place and burn it down
I'm gonna put it six feet underground
He said, I'm gonna buy this place and watch it fall
Stand here beside me baby in the crumbling walls
Oh I'm gonna buy this place and start a fire
Stand here until I fill all your heart's desires
Because I'm gonna buy this place and see it burn
Do back the things it did to you in return
Ah ah ah ah
He said, I'm gonna buy a gun and start a war
If you can tell me something worth fighting for
Oh and I'm gonna buy this place, is what I said
Blame it upon a rush of blood to the head
Honey
All the movements you're starting to make
See me crumble and fall on my face
And I know the mistakes that I made
See it all disappear without trace
And they call as they beckon you on
They say start as you mean to go on
Start as you mean to go on
He said, I'm gonna buy this place and see it go
Stand here beside me baby, watch the orange glow
Some will laugh and some just sit and cry
But you just sit down there and you wonder why
So I'm gonna buy a gun and start a war
If you can tell me something worth fighting for
And I'm gonna buy this place, is what I said
Blame it upon a rush of blood to the head
Oh to the head
Honey
All the movements you're starting to make
See me crumble and fall on my face
And I know the mistakes that I made
See it all disappear without trace
And they call as they beckon you on
They say start as you mean to go on
As you mean to go on
As you mean to go on
So meet me by the bridge
Oh meet me by the lane
When am I going to see
That pretty face again?
Meet me on the road
Meet me where I said
Blame it all upon
A rush of blood to the head"
A Rush of Blood to the Head,Amsterdam,"Come on, oh my star is fading
And I swerve out of control
If I, if I'd only waited
I'd not be stuck here in this hole
Come here, oh my star is fading
And I swerve out of control
And I swear I waited and waited
I've got to get out of this hole
But time is on your side
It's on your side now
Not pushing you down and all around
It's no cause for concern
Come on, oh my star is fading
And I see no chance of release
And I know I'm dead on the surface
But I am screaming underneath
And time is on your side
It's on your side now
Not pushing you down and all around
Oh, it's no cause for concern
Stuck on the end of this ball and chain
And I'm on my way back down again
Stood on a bridge, tied to a noose
Sick to the stomach
You can say what you mean
But it won't change a thing
I'm sick of the secrets
Stood on the edge
Tied to a noose
And you came along
And you cut me loose
You came along
And you cut me loose
You came along
And you cut me loose"
X&Y,Square One,"You're in control, is there anywhere you wanna go?
You're in control, is there anything you wanna know?
The future's for discovering
The space in which we're travelling
From the top of the first page
To the end of the last day
From the start in your own way
You just want somebody listening to what you say
It doesn't matter who you are
It doesn't matter who you are
Under the surface trying to break through
Deciphering the codes in you
I need a compass, draw me a map
I'm on the top, I can't get back
Whoa whoa
The first line on the first page
To the end of the last page
From the start in your own way
You just want somebody listening to what you say
It doesn't matter who you are
It doesn't matter who you are
You just want
Somebody listening to what you say
Oh, you just want somebody listening to what you say
It doesn't matter who you are
It doesn't matter who you are
Is there anybody out there who
Is lost and hurt and lonely too
Are they bleeding all your colours into one?
and if you come undone
As if you've been run through
Some catapult it fired you
You wonder if your chance will ever come
Or if you're stuck in square one"
X&Y,What If?,"What if there was no light
Nothing wrong, nothing right
What if there was no time
And no reason, or rhyme
What if you should decide
That you don't want me there by your side
That you don't want me there in your life
What if I got it wrong
And no poem or song
Could put right what I got wrong
Or make you feel I belong
What if you should decide
That you don't want me there by your side
That you don't want me there in your life
Ooh ooh-ooh, that's right
Let's take a breath, jump over the side
Ooh ooh-ooh, that's right
How can you know it, if you don't even try
Ooh ooh-ooh, that's right
Every step that you take
Could be your biggest mistake
It could bend or it could break
That's the risk that you take
What if you should decide
That you don't want me there in your life
That you don't want me there by your side
Ooh ooh-ooh, that's right
Let's take a breath, jump over the side
Ooh ooh-ooh, that's right
How can you know when you don't even try
Ooh ooh-ooh, that's right
Oh - Ooh ooh-ooh, that's right,
Let's take a breath, jump over the side.
Ooh ooh-ooh, that's right,
You know that darkness always turns into light.
Ooh-ooh, that's right"
X&Y,White Shadows,"When I was a young boy I tried to listen
And I want to feel like that
Little white shadows blink and miss them
Part of a system, I am
If you ever feel like
Something's missing
Things you never understand
Little white shadows sparkle and glisten
Part of a system a plan
All this noise I'm waking up
All the space I'm taking up
All this sound is breaking up
Maybe you'll get what you wanted
Maybe you'll stumble upon it
Everything you ever wanted in a permanent state
Maybe you'll know when you've seen it
Maybe if you say it you'll mean it
And when you find it you'll keep it
In a permanent state
A permanent state
When I was a young boy I tried to listen
Don't you want to feel like that?
You're part of the human race
All of the stars and the outer space
Part of a system a plan
All this noise I'm waking up
All the space I'm taking up
I cannot hear, you're breaking up
Maybe you'll get what you wanted
Maybe you'll stumble upon it
Everything you ever wanted in a permanent state
Maybe you'll know when you've seen it
Maybe if you say it you'll mean it
And when you find it you'll keep it
In a permanent state
A permanent state
Swim out on a sea of faces
The tide of the human races
An answer now is what I need
See it in the new sun rise and
See it break on your horizon
Oh come on love
Stay with me"
X&Y,Fix You,"When you try your best, but you don't succeed
When you get what you want, but not what you need
When you feel so tired, but you can't sleep
Stuck in reverse
And the tears come streaming down your face
When you lose something you can't replace
When you love someone, but it goes to waste
Could it be worse?
Lights will guide you home
And ignite your bones
And I will try to fix you
And high up above or down below
When you're too in love to let it go
But if you never try you'll never know
Just what you're worth
Lights will guide you home
And ignite your bones
And I will try to fix you
Tears stream down your face
When you lose something you cannot replace
Tears stream down your face and I
Tears stream down your face
I promise you I will learn from my mistakes
Tears stream down your face and I
Lights will guide you home
And ignite your bones
And I will try to fix you"
X&Y,Talk,"Oh brother I can't, I can't get through
I've been trying hard to reach you, cause I don't know what to do
Oh brother I can't believe it's true
I'm so scared about the future and I wanna talk to you
Oh I wanna talk to you
You can take a picture of something you see
In the future where will I be?
You can climb a ladder up to the sun
Or write a song nobody has sung
Or do something that's never been done
Are you lost or incomplete?
Do you feel like a puzzle, you can't find your missing piece?
Tell me how do you feel?
Well, I feel like they're talking in a language I don't speak
And they're talking it to me
So you take a picture of something you see
In the future where will I be?
You can climb a ladder up to the sun
Or write a song nobody has sung
Or do something that's never been done
Do something that's never been done
So you don't know where you're going, and you wanna talk
And you feel like you're going where you've been before
You tell anyone who'll listen but you feel ignored
Nothing's really making any sense at all
Let's talk, let's ta-a-alk
Let's talk, let's ta-a-alk"
X&Y,X&Y,"Trying hard to speak and
Fighting with my weak hand
Driven to distraction
So part of the plan
When something is broken
And you try to fix it
Trying to repair it
Any way you can
I dive in at the deep end
She become my best friend
I wanna love you
But I don't know if I can
I know something is broken
And I'm tryna fix it
Trying to repair it
Any way I can
You and me are floating on a tidal wave
Together
You and me are drifting into outer space
And singing
You and me are floating on a tidal wave
Together
You and me are drifting into outer space
You and me are floating on a tidal wave
Together
You and me are drifting into outer space
And singing"
X&Y,Speed of Sound,"How long before I get in?
Before it starts, before I begin?
How long before you decide?
Before I know what it feels like?
Where To, where do I go?
If you never try, then you'll never know.
How long do I have to climb,
Up on the side of this mountain of mine?
Look up, I look up at night,
Planets are moving at the speed of light.
Climb up, up in the trees,
every chance that you get,
is a chance you seize.
How long am I gonna stand,
with my head stuck under the sand?
I'll start before I can stop,
before I see things the right way up.
All that noise, and all that sound,
All those places I got found.
And birds go flying at the speed of sound,
to show you how it all began.
Birds came flying from the underground,
if you could see it then you'd understand?
Ideas that you'll never find,
All the inventors could never design.
The buildings that you put up,
Japan and China all lit up.
The sign that I couldn't read,
or a light that I couldn't see,
some things you have to believe,
but others are puzzles, puzzling me.
All that noise, and all that sound,
All those places I got found.
And birds go flying at the speed of sound,
to show you how it all began.
Birds came flying from the underground,
if you could see it then you'd understand,
ah when you see it then you'll understand?
All those signs, I knew what they meant.
Some things you can invent.
Some get made, and some get sent,
Ooh?
Birds go flying at the speed of sound,
to show you how it all began.
Birds came flying from the underground,
if you could see it then you'd understand,
ah, when you see it then you'll understand?"
X&Y,A Message,"My song is love
Love to the loveless shown
And it goes on
You don't have to be alone
Your heavy heart
Is made of stone
And it's so hard to see you clearly
You don't have to be on your own
You don't have to be on your own
And I'm not gonna take it back
And I'm not gonna say, ""I don't mean that""
You're the target that I'm aiming at
Got to get that message home
My song is love
My song is love, unknown
But I'm on fire for you, clearly
You don't have to be alone
You don't have to be on your own
And I'm not gonna take it back
And I'm not gonna say, ""I don't mean that""
You're the target that I'm aiming at
And I'm nothing on my own
Got to get that message home
And I'm not gonna stand and wait
Not gonna leave it until it's much too late
On a platform I'm gonna stand and say
That I'm nothing on my own
And I love you, please come home
My song is love, is love unknown
And I've got to get that message home"
X&Y,Low,"You see the world in black and white
No colour or light
You think you'll never get it right
But you're wrong. You might.
The sky could fall, could fall on me
The parting of the sea
But you mean more, mean more to me
Than any colour I can see
All you ever wanted was love,
But you never looked hard enough,
It's never gonna give itself up
All you ever wanted to be
Living in perfect symmetry,
Nothing is as down or as up as us
You see the world in black and white
Not painted right
You see no meaning to your life
You should try
You should try
All you ever wanted was love,
But you never looked hard enough,
It's never gonna give itself up
All you ever wanted to be,
Living in perfect symmetry,
Nothing is as down or as up
Don't you want to see it come soon,
Floating in a big white balloon
Come give her your own silver spoon
Don't you want to see it come down?
There for throwing your arms around
And say ""You're not a moment too soon.""
Cause I feel low, cause I feel low
ooooh...
Yeah I feel low
oh no...oooh
Cause I feel low, cause I feel low
oh...
Yet I feel low
oh no...oooh"
X&Y,Hardest Part,"And the hardest part
Was letting go, not taking part
Was the hardest part
And the strangest thing
Was waiting for that bell to ring
It was the strangest start
I could feel it go down
Bittersweet, I could taste in my mouth
Silver-lining the cloud
Oh and I
I wish that I could work it out
And the hardest part
Was letting go, not taking part
You really broke my heart
And I tried to sing
But I couldn't think of anything
And that was the hardest part
I could feel it go down
You left the sweetest taste in my mouth
You're silver-lining the clouds
Oh and I
Oh and I
I wonder what it's all about
I wonder what it's all about
Everything I know is wrong
Everything I do—it just comes undone
And everything is torn apart
Oh and that's the hardest part
That's the hardest part
Yeah that's the hardest part
That's the hardest part"
X&Y,Swallowed in the Sea,"You cut me down a tree
And brought it back to me
And that's what made me see
Where I was going wrong
You put me on a shelf
And kept me for yourself
I can only blame myself
You can only blame me
And I could write a song
A hundred miles long
Well, that's where I belong
And you belong with me
And I could write it down
Or spread it all around
Get lost and then get found
Or swallowed in the sea
You put me on a line
And hung me out to dry
And darling that's when I
Decided to go to see you
You cut me down to size
And opened up my eyes
Made me realize
What I could not see
And I could write a book
The one they'll say that shook
The world, and then it took
It took it back from me
And I could write it down
Or spread it all around
Get lost and then get found
And you'll come back to me
Not swallowed in the sea
Ooh...
And I could write a song
A hundred miles long
Well, that's where I belong
And you belong with me
The streets you're walking on
A thousand houses long
Well, that's where I belong
And you belong with me
Oh what good is it to live
With nothing left to give
Forget but not forgive
Not loving all you see
Oh the streets you're walking on
A thousand houses long
Well that's where I belong
And you belong with me
Not swallowed in the sea
You belong with me
Not swallowed in the sea
Yeah, you belong with me
Not swallowed in the sea"
X&Y,Twisted Logic,"Sunlight, opened up my eyes
To see for the first time
You'll open them up
And tonight, rivers will run dry
And not for the first time
Rivers will run
Hundreds of years in the future
It could be computers
Looking for life on earth
Don't fight for the wrong side
Say what you feel like
Say how you feel
You'll go backwards, but then
You'll go forwards again
You'll go backwards, but then
You'll go
Created, then drilled and invaded
If somebody made it
Someone will mess it up
And you are not wrong to
Ask who does this belong to
It belongs to all of us
You'll go backwards, but then
You'll go forwards again
You'll go backwards, but then
you'll go forwards
You'll go backwards, but then
you'll go forwards again
You'll go forwards again
You'll go forwards"
X&Y,Til Kingdom Come,"Steal my heart and hold my tongue.
I feel my time, my time has come.
Let me in, unlock the door.
I've never felt this way before.
The wheels just keep on turning,
The drummer begins to drum,
I don't know which way I'm going,
I don't know which way I've come.
Hold my head inside your hands,
I need someone who understands.
I need someone, someone who hears,
For you, I've waited all these years.
For you, I'd wait 'til kingdom come.
Until my day, my day is done.
And say you'll come, and set me free,
Just say you'll wait, you'll wait for me.
In your tears and in your blood,
In your fire and in your flood,
I hear you laugh, I heard you sing,
""I wouldn't change a single thing.""
The wheels just keep on turning,
The drummers begin to drum,
I don't know which way I'm going,
I don't know what I've become.
For you, I'd wait 'til kingdom come,
Until my days, my days are done.
Say you'll come and set me free,
Just say you'll wait, you'll wait for me.
Just say you'll wait, you'll wait for me.
Just say you'll wait, you'll wait for me."
X&Y,How You See the World,"Are you running in a circle?
You can't be too careful
And you can't relate it
'Cause it's complicated
Oh you're gonna get it right some time
You're gonna get it right some time
It's how you see the world
How many times can you see?
You can't believe what you learn
It's how you see the world
Don't you worry yourself
Your not gonna get hurt
Oooohhhhh...
Is there something missing?
There's nobody listening
Are you scared of what you don't know?
Don't wanna end up on your own?
You need conversation
And information
Ohhhhhhhhh...
Gonna get it right sometimes
You just wanna get it right sometimes
It's how you see the world
How many times have you heard?
You can't believe a word
It's how you see the world
Don't you worry yourself
'Cause nobody can learn
Oooooh
Oooooh
Ooooooooh
That's how you see the world
That's how you see the world"
Viva La Vida,Cemetaries of London,"At night they would go walking
'Til the breaking of the day
The morning is for sleeping
Through the dark streets they go searching
To see God in their own way
Save the night time for your weeping
Your weeping
Singing lalalalalalalalaiy
And the night over London lay
So we rode down to the river
Where Victorian ghosts pray
For their curses to be broken
We go wandering 'neath the arches
Where the witches are and they say
There are ghost towns in the ocean
The ocean
Singing lalalalalalalalaiy
And the night over London lay
God is in the houses
And God is in my head
And all the cemeteries of London
I see God come in my garden
But I don't know what he said
For my heart it wasn't open
Not open
Singing lalalalalalalalaiy
And the night over London lay
Singing lalalalalalalalaiy
There's no light over London today"
